borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Brooklyn,2015,3,16.32959239456027,3.1179060060850365,1942979.25,623168.0,189102092.8483146,43698780.76404494,16276055.937784716
EWR,2015,3,27.23809523809524,12.534285714285716,87.74000000000001,7.0,8539.369438202248,490.8651685393258,734.9852799412198
Manhattan,2015,3,13.567983530135429,2.647097896515618,1276682.08,482295.0,124254159.2916854,33820259.49438202,10694580.988884645
Queens,2015,3,13.726124031348483,2.7006272774024533,1228823.22,455014.0,119596255.41168539,31907217.685393255,10293674.246067597
Staten Island,2015,3,26.7982905982906,5.873479853479854,1603.46,273.0,156058.09573033708,19143.741573033705,13431.952324761205
Unknown,2015,3,17.170886879263843,4.207163255592575,8839.25,2101.0,860287.4550561798,147329.67415730335,74045.1177994122
Bronx,2015,4,15.101412899940446,2.9383063325881875,340435.11,115861.0,33133133.96426966,8124589.898876403,2888508.1127865543
Brooklyn,2015,4,16.56509045723795,3.1977287203099887,1945939.44,608538.0,189390195.83460674,42672872.561797746,16510817.169919178
EWR,2015,4,3.4296296296296296,10.143333333333334,91.29,9.0,8884.876179775281,631.1123595505617,774.5731796473183
Manhattan,2015,4,13.57268321465278,2.681612653025664,1261942.78,470591.0,122819644.49842696,32999532.932584267,10707273.870495958
Queens,2015,4,13.701224661461278,2.80438884236732,1239119.21,441850.0,120598321.31483145,30984110.6741573,10513621.496897502
Staten Island,2015,4,26.571991701244816,6.825020746887967,1644.83,241.0,160084.4658426966,16899.786516853932,13955.977687362232
Unknown,2015,4,21.691868540051683,4.8575678294573645,10026.02,2064.0,975790.8453932584,144735.1011235955,85068.31186994858
Bronx,2015,5,15.447515207240938,2.971851541985239,358764.89,120721.0,34917095.24921348,8465390.573033707,3276293.1690495964
Brooklyn,2015,5,16.957831729970337,3.2953306756246903,2174809.5,659967.0,211665167.29213482,46279258.955056176,19860676.748034537
EWR,2015,5,22.83,12.425,124.25,10.0,12092.73595505618,701.2359550561797,1134.6690760470242
Manhattan,2015,5,14.118459232079749,2.764412578264849,1365166.45,493836.0,132865975.16741572,34629555.91011236,12466898.627540411
Queens,2015,5,14.14800146275624,2.9096468498351813,1406994.65,483562.0,136936939.98089886,33909106.089887634,12848879.835159808
Staten Island,2015,5,26.376148148148147,5.7340888888888895,1290.17,225.0,125566.88247191011,15777.808988764044,11782.020135562088
Unknown,2015,5,22.025345548055288,5.136562198649951,10653.23,2074.0,1036834.5871910112,145436.33707865168,97286.8462053637
Bronx,2015,6,15.313227935696796,2.9769123752982507,316904.23,106454.0,30842971.238876402,7464937.235955056,2983125.9278886844
Brooklyn,2015,6,16.509327461345347,3.180607520198881,1903746.27,598548.0,185283710.0083146,41972337.84269662,17920602.884216383
EWR,2015,6,11.35,8.62375,137.98,16.0,13429.019775280898,1121.9775280898875,1298.852071271124
Manhattan,2015,6,13.749523850295867,2.69750409445569,1228696.93,455494.0,119583964.13101122,31940877.011235952,11566136.777032696
Queens,2015,6,14.050589707354412,2.8138377053524115,1274330.82,452880.0,124025320.93078652,31757573.932584267,11995703.906664953
Staten Island,2015,6,38.84896907216495,6.467628865979382,1254.72,194.0,122116.68134831461,13603.977528089887,11811.100673034533
Unknown,2015,6,20.96402784940691,4.502686952037132,8730.71,1939.0,849723.7080898875,135969.65168539324,82185.10484974281
Bronx,2015,7,14.489622937613124,3.051655036042728,291680.24,95581.0,28388025.155955054,6702483.382022471,2749498.814874357
Brooklyn,2015,7,15.937318321781866,3.255802818058139,1823581.67,560102.0,177481622.75887638,39276366.089887634,17189836.515807863
EWR,2015,7,19.00925925925926,11.957777777777778,107.62,9.0,10474.207191011235,631.1123595505617,1014.4707178545189
Manhattan,2015,7,13.008089664999046,2.721445310597398,1173359.31,431153.0,114198183.63168539,30233998.573033705,11060571.097537475
Queens,2015,7,13.451541137069952,2.876915537491852,1240143.35,431067.0,120697996.60337079,30227967.943820223,11690105.133962162
Staten Island,2015,7,16.591256830601093,5.688360655737705,1040.97,183.0,101313.2824719101,12832.617977528089,9812.614599191773
Unknown,2015,7,18.27910241202056,4.598303677342823,7752.74,1686.0,754541.9537078651,118228.3820224719,73080.53998457018
Bronx,2015,8,14.939164566119205,3.167694672710215,280242.78,88469.0,27274864.72314607,6203764.370786516,2463006.6401528292
Brooklyn,2015,8,15.60116176015939,3.269720208855759,1903696.5,582220.0,185278866.1011236,40827359.77528089,16731268.225128582
EWR,2015,8,14.803703703703702,12.76,114.84,9.0,11176.8997752809,631.1123595505617,1009.3094371785453
Manhattan,2015,8,12.783351272734278,2.7572997950814737,1145070.76,415287.0,111444976.66426966,29121417.60674157,10063834.241598824
Queens,2015,8,13.451940378802716,2.973826771021852,1260334.55,423809.0,122663122.15842697,29719010.887640446,11076868.297781045
Staten Island,2015,8,19.74972222222222,6.396888888888889,1151.44,180.0,112064.86831460675,12622.247191011234,10119.812420279208
Unknown,2015,8,21.040522676428715,5.724240390482001,9382.03,1639.0,913113.9759550563,114932.57303370786,82457.0830624541
Bronx,2015,9,20.321540048748208,3.0777140954659234,249593.38,81097.0,24291886.04,5686813.224719101,1992877.5173563557
Brooklyn,2015,9,22.412212717838457,3.213822648910911,1805673.4,561846.0,175738685.28988764,39398661.640449435,14417393.292035269
EWR,2015,9,8.505128205128205,8.974615384615385,116.67,13.0,11355.00606741573,911.6067415730336,931.5512292432035
Manhattan,2015,9,17.982344737959966,2.705310256125327,1144229.91,422957.0,111363140.22943819,29659265.58426966,9136099.933121968
Queens,2015,9,20.037304157588693,3.0234065145009863,1229504.54,406662.0,119662565.45483147,28516601.595505614,9816974.934405584
Staten Island,2015,9,19.382456140350875,6.719078947368421,510.65,76.0,49699.441573033706,5329.393258426966,4077.2832365907416
Unknown,2015,9,19.676673164392465,4.33929174788824,6678.17,1539.0,649958.5229213483,107920.21348314606,53321.82628434974
Bronx,2015,10,21.797724350836468,2.983808533533231,246787.82,82709.0,24018832.548764046,5799852.460674156,1867191.9315841296
Brooklyn,2015,10,24.396363874069227,3.1225371759611256,1942558.48,622109.0,189061141.05348313,43624519.87640449,14697360.34981925
EWR,2015,10,22.642592592592592,12.983333333333333,116.85,9.0,11372.524719101122,631.1123595505617,884.0848677443056
Manhattan,2015,10,20.00058171634212,2.662576508500468,1241005.61,466092.0,120781916.78449439,32684046.87640449,9389424.737584865
Queens,2015,10,21.91348250334414,2.8180544459443326,1227510.7,435588.0,119468513.2966292,30544996.71910112,9287322.50632623
Staten Island,2015,10,12.715503875968992,4.0689534883720935,349.93,86.0,34057.23213483146,6030.629213483146,2647.5636950771495
Unknown,2015,10,17.420858838805415,4.315303283249861,7754.6,1797.0,754722.9797752809,126012.1011235955,58671.15545922117
Bronx,2015,11,21.666911944730085,2.931873105327119,219541.59,74881.0,21367070.253707863,5250924.955056179,1639512.7203835417
Brooklyn,2015,11,25.3074096849952,3.1434477431988057,1817217.71,578097.0,176862244.98898876,40538240.191011235,13570784.247537106
EWR,2015,11,12.193939393939392,5.756363636363637,63.32,11.0,6162.672359550562,771.3595505617977,472.86687435709047
Manhattan,2015,11,20.02528646746033,2.65549870549796,1174407.58,442255.0,114300207.39280899,31012510.730337076,8770348.098166054
Queens,2015,11,22.46138945960732,2.773373436265272,1140619.16,411275.0,111011720.94292134,28840081.741573032,8518019.8518795
Staten Island,2015,11,35.40441919191919,4.731212121212121,624.52,132.0,60781.93528089887,9256.314606741573,4663.847447465099
Unknown,2015,11,19.187135539795115,4.704338061465721,7959.74,1692.0,774688.4031460674,118649.1235955056,59442.472749448934
Bronx,2015,12,21.88119967793881,2.973121144555927,240020.07,80730.0,23360155.57685393,5661077.865168539,1744572.0348747247
Brooklyn,2015,12,23.43847725567816,3.118250790810885,1885790.23,604759.0,183536123.2838202,42407875.49438202,13706757.517810801
EWR,2015,12,15.50897435897436,7.716153846153846,100.31,13.0,9762.755280898877,911.6067415730336,729.0974493019838
Manhattan,2015,12,19.26633260877353,2.636460192713897,1201985.93,455909.0,116984293.54674156,31969978.303370785,8736565.403846804
Queens,2015,12,21.77254996302939,2.746469344513366,1215845.5,442694.0,118333187.8764045,31043294.98876404,8837302.888997061
Staten Island,2015,12,28.42871376811594,7.342010869565217,1350.93,184.0,131480.4006741573,12902.741573033707,9819.156785819252
Unknown,2015,12,17.487313296903462,5.172420765027323,9465.53,1830.0,921240.6838202247,128326.17977528089,68799.6588504776
Bronx,2016,1,21.575626244112023,2.9536606456571866,199821.05,67652.0,19447752.079775278,4744001.483146067,1376599.6605124907
Brooklyn,2016,1,23.625829595138395,3.0111307817711053,1695585.81,563106.0,165024317.82269663,39487017.37078651,11681165.975335415
EWR,2016,1,2.6583333333333337,6.6425,26.57,4.0,2585.947640449438,280.4943820224719,183.04504445260838
Manhattan,2016,1,19.064625305495543,2.5463026346363966,1030065.99,404534.0,100252040.50988764,28367378.58426966,7096291.86784607
Queens,2016,1,21.318949486915287,2.705958944614741,1047836.6,387233.0,101981580.10337079,27154170.258426964,7218716.485738427
Staten Island,2016,1,36.72900976290098,7.480251046025105,1787.78,239.0,173997.19505617977,16759.539325842696,12316.306720793535
Unknown,2016,1,19.30317170663886,4.648138686131387,8915.13,1918.0,867672.5399999999,134497.05617977527,61417.77821418074
Bronx,2016,2,21.71016286040158,2.908969390732341,219342.11,75402.0,21347655.69460674,5287459.348314607,1394184.2212990448
Brooklyn,2016,2,23.42272205095184,2.995260087691208,1730388.71,577709.0,168411539.39348313,40511032.23595505,10998711.721137399
EWR,2016,2,27.716666666666665,28.4825,113.93,4.0,11088.333258426966,280.4943820224719,724.1628537839824
Manhattan,2016,2,18.842591990070435,2.5310313748350595,1120193.99,442584.0,109023824.06044944,31035581.393258423,7120186.751426891
Queens,2016,2,21.0308792471148,2.6597275035389973,1046530.96,393473.0,101854507.59011236,27591741.49438202,6651969.1614753865
Staten Island,2016,2,45.182767295597486,9.093509433962264,2409.78,265.0,234533.86921348315,18582.752808988764,15317.06452902278
Unknown,2016,2,17.33356871678056,4.281157175398633,9397.14,2195.0,914584.5694382022,153921.29213483146,59730.1827421014
Bronx,2016,3,21.93901740549041,2.916396723120078,248485.75,85203.0,24184085.016853932,5974740.707865168,1624112.7210966202
Brooklyn,2016,3,23.76700991897178,3.075094165968147,1834293.67,596500.0,178524177.1858427,41828724.719101116,11989016.205854887
EWR,2016,3,112.52435897435898,4.586153846153847,59.620000000000005,13.0,5802.566741573034,911.6067415730336,389.67868552534907
Manhattan,2016,3,18.562936088630856,2.575096852378981,1187812.35,461269.0,115604837.9292135,32345840.775280897,7763588.648084131
Queens,2016,3,21.34824829038202,2.730756165330115,1122362.63,411008.0,109234888.77595504,28821358.741573032,7335806.681334681
Staten Island,2016,3,63.14608843537415,7.674540816326531,1504.21,196.0,146398.5058426966,13744.224719101123,9831.576242101397
Unknown,2016,3,20.42129679869777,4.97517091698318,9169.24,1843.0,892404.0098876404,129237.78651685391,59930.51644526084
Bronx,2016,4,23.26382734149244,3.04932190209077,239188.81,78440.0,23279252.496853933,5500494.831460673,1709593.6715922116
Brooklyn,2016,4,24.078913835271663,3.1073157725463143,1864659.8,600087.0,181479586.3775281,42080258.05617977,13327590.842365908
EWR,2016,4,4.666666666666667,5.6075,44.86,8.0,4366.0373033707865,560.9887640449438,320.63528434974285
Manhattan,2016,4,18.918489301300987,2.59088898515593,1124388.82,433978.0,109432089.42516854,30432097.730337076,8036529.848871418
Queens,2016,4,21.92723586479629,2.787989598335342,1140212.47,408973.0,110972139.49595505,28678657.2247191,8149628.834988244
Staten Island,2016,4,27.24182242990654,5.828598130841121,1247.32,214.0,121396.47011235954,15006.449438202246,8915.17616752388
Unknown,2016,4,18.366769483857706,4.526212214682295,7336.99,1621.0,714078.7346067416,113670.34831460673,52440.87995811903
Bronx,2016,5,24.59010699226439,3.144909958544941,235934.29,75021.0,22962503.595280897,5260742.258426966,1808217.0405084498
Brooklyn,2016,5,26.37963664375731,3.1718284502545973,1923549.02,606448.0,187211029.33977526,42526314.247191004,14742215.369445996
EWR,2016,5,1.2351851851851852,7.25,65.25,9.0,6350.511235955056,631.1123595505617,500.08060249816316
Manhattan,2016,5,20.71635346510607,2.656437815848225,1137518.55,428212.0,110709951.46179776,30027765.07865168,8718022.403629685
Queens,2016,5,23.17267449458399,2.852528769075617,1156863.01,405557.0,112592667.33280899,28439115.02247191,8866279.709557679
Staten Island,2016,5,30.50027322404372,6.001844262295082,1464.45,244.0,142528.83033707866,17110.157303370786,11223.64809698751
Unknown,2016,5,18.477096705177576,4.4886713735558414,6993.35,1558.0,680633.6820224719,109252.5617977528,53597.527685525354
Bronx,2016,6,24.639894822127864,3.15659679815151,210384.02,66649.0,20475802.036404494,4673667.516853932,1640601.1758008816
Brooklyn,2016,6,25.90861050419005,3.139082833199657,1702497.27,542355.0,165696981.49146068,38031882.640449435,13276288.869087068
EWR,2016,6,4.661111111111111,6.88,61.92,9.0,6026.41617977528,631.1123595505617,482.85998530492293
Manhattan,2016,6,20.58827919910072,2.618902025913436,1032868.77,394390.0,100524823.43528089,27656044.83146067,8054441.200001838
Queens,2016,6,23.398617475799583,2.863423084199573,1089738.65,380572.0,106059732.43033707,26687076.988764044,8497919.711324392
Staten Island,2016,6,41.85179677819083,7.037434944237918,1893.07,269.0,184244.63303370785,18863.247191011233,14762.399101763409
Unknown,2016,6,22.013970773494584,4.868715041572185,6441.31,1323.0,626905.9238202247,92773.51685393257,50230.14941770757
Bronx,2016,7,24.194088096498568,3.246856225558004,190126.16,58557.0,18504188.740674157,4106227.3820224716,1455275.3603908892
Brooklyn,2016,7,24.530474603365523,3.162610822912261,1630205.7,515462.0,158661143.5213483,36146048.78651685,12478020.844573842
EWR,2016,7,8.868518518518519,14.284444444444444,128.56,9.0,12512.210337078652,631.1123595505617,984.0318677443057
Manhattan,2016,7,19.757923838389832,2.6458916306900764,981210.39,370843.0,95497128.0694382,26004844.528089885,7510440.982590375
