pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Brooklyn,2014,1,13.270670637482436,3.510653256643424,1201805.44,342331.0
EWR,2014,1,9.24563492063492,5.965095238095239,1252.67,210.0
Manhattan,2014,1,11.6766685932264,2.410780439351336,30224021.87,12537028.0
Queens,2014,1,27.592025183768406,10.181379078366716,6462335.11,634721.0
Staten Island,2014,1,14.44331550802139,4.789679144385026,895.67,187.0
Unknown,2014,1,29.08340742503293,2.7778181058447324,478643.06,172309.0
Bronx,2014,2,15.190531567061043,3.606874304783092,35668.38,9889.0
Brooklyn,2014,2,13.779320095805446,3.502499703327479,1180594.58,337072.0
EWR,2014,2,10.53234908136483,6.074330708661417,1542.88,254.0
Manhattan,2014,2,12.20041922431853,2.4777095657206227,29567273.86,11933309.0
Queens,2014,2,27.72530995587596,9.737391845596918,5013899.91,514912.0
Staten Island,2014,2,14.570058997050149,5.131769911504425,579.89,113.0
Unknown,2014,2,12.692553305791783,2.7726605351799423,516111.35,186143.0
Bronx,2014,3,12.678672624958624,3.762491559086395,37888.29,10070.0
Brooklyn,2014,3,13.90255512882468,3.6894267365261846,1450571.91,393170.0
EWR,2014,3,9.65,7.602027649769585,1649.64,217.0
Manhattan,2014,3,11.981775820824188,3.5720705365152843,50149709.23,14039395.0
Queens,2014,3,27.74478891664428,10.014638548636606,6486701.71,647722.0
Staten Island,2014,3,12.07963963963964,4.8570810810810805,898.56,185.0
Unknown,2014,3,12.483952713569836,2.849707009194203,693969.2,243523.0
Bronx,2014,4,13.621799529814064,3.936599700790767,36838.7,9358.0
Brooklyn,2014,4,14.059365016490284,3.621358977229345,1261634.39,348387.0
EWR,2014,4,10.246328671328673,6.768286713286713,1935.73,286.0
Manhattan,2014,4,12.355143336890707,2.520749444705776,33299387.53,13210114.0
Queens,2014,4,27.529119538406032,10.418355114331808,7064832.46,678114.0
Staten Island,2014,4,15.307070707070707,5.703409090909091,752.85,132.0
Unknown,2014,4,12.98948205302746,2.8719168973708493,818487.7,284997.0
Bronx,2014,5,13.90709493762692,4.073245213228894,37441.27,9192.0
Brooklyn,2014,5,14.685958606094932,3.673493710567564,1394476.58,379605.0
EWR,2014,5,10.5643470790378,5.99610824742268,2326.49,388.0
Manhattan,2014,5,12.855536354459916,2.5761106639536355,33907165.28,13162154.0
Queens,2014,5,29.72925567629537,10.708886289511383,8431834.38,787368.0
Staten Island,2014,5,16.928641975308643,6.256814814814814,844.67,135.0
Unknown,2014,5,13.496838043992431,2.9615572374645223,1001717.12,338240.0
Bronx,2014,6,14.064268917929148,4.174004857175899,36092.62,8647.0
Brooklyn,2014,6,14.916575638804613,3.702910286544616,1246129.29,336527.0
EWR,2014,6,11.989832285115304,7.859937106918239,2499.46,318.0
Manhattan,2014,6,12.798941086048597,3.534507932958765,43407217.7,12280979.0
Queens,2014,6,29.45317495068451,26.54994631483655,19767125.33,744526.0
Staten Island,2014,6,16.17842261904762,7.053928571428571,790.04,112.0
Unknown,2014,6,13.3689545561912,2.9296567517585856,1017042.06,347154.0
Bronx,2014,7,13.453810478324096,4.081218016743308,34612.81,8481.0
Brooklyn,2014,7,14.43679129003412,3.685436153307247,1078413.9,292615.0
EWR,2014,7,11.0506038647343,8.386884057971015,2314.78,276.0
Manhattan,2014,7,12.198696163583092,2.5371148666990986,29617332.61,11673627.0
Queens,2014,7,27.9946693352731,10.7309639866247,7538384.16,702489.0
Staten Island,2014,7,16.442434210526315,6.779999999999999,1030.56,152.0
Unknown,2014,7,12.678124515447893,2.870896859657908,968959.27,337511.0
Bronx,2014,8,14.424148391812864,4.018792763157895,36651.39,9120.0
Brooklyn,2014,8,15.07656889635838,4.0772272059251495,1120813.45,274896.0
EWR,2014,8,4.441666666666666,8.262295597484277,2627.41,318.0
Manhattan,2014,8,13.115414214813296,51.433219052466185,579060382.37,11258490.0
Queens,2014,8,29.083135950013727,121.9088965042264,91336461.53,749219.0
Staten Island,2014,8,16.440918163672652,7.235029940119761,1208.25,167.0
Unknown,2014,8,9.4383111558445,3.197855909165547,1051653.29,328862.0
Bronx,2014,9,15.069925886239842,3.932435038842754,29359.56,7466.0
Brooklyn,2014,9,15.50090149494248,4.948564841864177,1482199.09,299521.0
EWR,2014,9,8.830351437699681,6.223418530351438,1947.93,313.0
Manhattan,2014,9,13.753087579070163,29.40827843931869,354275354.62,12046790.0
Queens,2014,9,32.11300839295074,65.00940598601855,47752334.12,734545.0
Staten Island,2014,9,18.969565217391303,8.841913043478261,1016.82,115.0
Unknown,2014,9,12.243855750257309,3.2786089248136565,833537.14,254235.0
Bronx,2014,10,13.97609278975158,3.653547130615424,28139.62,7702.0
Brooklyn,2014,10,15.547763381625,7.677804768316524,2372103.85,308956.0
EWR,2014,10,3.299566294919455,5.093605947955391,1370.18,269.0
Manhattan,2014,10,13.747908208031443,13.460123022830814,174315632.79,12950523.0
Queens,2014,10,31.97570131537937,27.32087844372821,20395090.4,746502.0
Staten Island,2014,10,24.156973995271866,5.299148936170212,747.18,141.0
Unknown,2014,10,14.133042581909622,2.9276120479254493,633347.88,216336.0
Bronx,2014,11,14.415370667277449,3.536181859825928,30877.94,8732.0
Brooklyn,2014,11,15.88634312942536,26.777088234576123,7678249.72,286747.0
EWR,2014,11,4.521844660194175,6.017831715210356,1859.51,309.0
Manhattan,2014,11,14.278778520656063,15.347460503148229,184667980.86,12032478.0
Queens,2014,11,31.92659281655504,32.20630271892603,21783376.97,676370.0
Staten Island,2014,11,17.388938053097345,7.203805309734513,814.03,113.0
Unknown,2014,11,14.262734455716828,2.8801358147748632,632797.52,219711.0
Bronx,2014,12,15.02193733681462,3.474127415143603,33264.77,9575.0
Brooklyn,2014,12,15.316405248082557,40.97377670324406,10948029.24,267196.0
EWR,2014,12,3.229618473895582,5.539367469879518,1839.07,332.0
Manhattan,2014,12,14.265466161513894,27.20673927259251,322066278.55,11837739.0
Queens,2014,12,32.75233953537721,90.71947603339264,62702580.25,691170.0
Staten Island,2014,12,14.373093681917211,5.119084967320261,783.22,153.0
Unknown,2014,12,14.588870501789398,2.90320811272531,650873.13,224191.0
Bronx,2015,1,17.107687331337104,3.7057336142841297,33414.6,9017.0
Brooklyn,2015,1,14.497602899099649,10.562269366111892,2398258.32,227059.0
EWR,2015,1,5.38279132791328,6.214065040650407,1528.66,246.0
Manhattan,2015,1,12.516261867534933,12.77954902798346,147883292.79,11571871.0
Queens,2015,1,28.365084204714908,26.02238054472595,16292950.75,626113.0
Staten Island,2015,1,21.357911392405065,9.08493670886076,1435.42,158.0
Unknown,2015,1,61.72928892447567,2.7475633243792403,638247.97,232296.0
Bronx,2015,2,14.88510050097752,3.42962793255132,37424.1,10912.0
Brooklyn,2015,2,15.338114437775756,9.222306764815434,2401682.35,260421.0
EWR,2015,2,3.991160593792173,5.121255060728745,1264.95,247.0
Manhattan,2015,2,13.656593353360384,15.474912377873896,174367583.22,11267759.0
Queens,2015,2,30.190314137297424,54.66140989143061,32564425.62,595748.0
Staten Island,2015,2,18.70888888888889,7.904916666666667,948.59,120.0
Unknown,2015,2,22.62167021951043,2.736970977308604,643251.13,235023.0
Bronx,2015,3,14.577793140843164,3.4777950386335905,42759.49,12295.0
