borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Staten Island,2018,10,48.93167388167388,14.292034632034632,3301.46,231.0
Unknown,2018,10,127.520305907173,2.689356540084388,1272.39,237.5
Bronx,2018,11,60.105954075193836,5.280636712153402,48721.755,8161.166666666667
Brooklyn,2018,11,190.65267555377272,4.124516917234223,178684.002,42345.0
EWR,2018,11,0.0916666666666666,0.0499999999999999,0.0999999999999999,2.0
Manhattan,2018,11,75.58292030792323,4.243512687552653,68419.20375,25641.5
Queens,2018,11,64.31067031639292,4.769959547446309,75910.17555555556,22067.555555555555
Staten Island,2018,11,48.299343832021,15.037165354330709,3819.44,254.0
Unknown,2018,11,18.02140562248996,6.003349397590362,2491.39,415.0
Bronx,2018,12,81.73054171841326,3.587954966760419,86589.955,13691.5
Brooklyn,2018,12,76.12539951387822,4.221037538162995,248680.3025,57118.75
EWR,2018,12,0.0666666666666666,0.1649999999999999,0.3299999999999999,2.0
Manhattan,2018,12,57.61070568043227,3.2758331464752994,192592.02000000002,71281.33333333333
Queens,2018,12,14.499776728618064,2.8697854406000545,125240.89166666666,35166.166666666664
Staten Island,2018,12,51.1143504531722,15.443383685800605,5111.76,331.0
Unknown,2018,12,30.934874759152216,5.393198458574181,2799.07,519.0
Bronx,2019,1,105.92714813935413,3.357585176526456,115616.36333333334,18252.333333333332
Brooklyn,2019,1,15.317946518156912,3.319934952530716,237936.645,53104.25
EWR,2019,1,48.05,12.753333333333336,38.260000000000005,3.0
Manhattan,2019,1,74.11283394492182,3.3741079987635465,138651.1825,51563.75
Queens,2019,1,100.95098953986357,3.287400292259761,139383.2,37323.6
Staten Island,2019,1,49.938148148148144,16.86580952380952,5312.73,315.0
Unknown,2019,1,39.11186961869619,5.216273062730627,2827.22,542.0
Bronx,2019,2,14.893607449257166,4.925819855249068,173364.53,27081.5
Brooklyn,2019,2,16.86633765495581,3.459907023327632,177765.51799999998,38319.0
EWR,2019,2,10.054166666666664,12.9875,51.95,4.0
Manhattan,2019,2,145.3112502139986,1.8627717646060684,72378.02142857143,26944.85714285714
Queens,2019,2,231.17602808600526,4.0893455426767495,129835.33799999999,33962.6
Staten Island,2019,2,47.779356060606055,17.131193181818183,6030.18,352.0
Unknown,2019,2,18.382604633781764,4.39201793721973,1489.365,223.5
Bronx,2019,3,27.86785540177404,6.2395230791182135,349837.58,56068.0
Brooklyn,2019,3,40.80852751855007,3.207636230735577,149003.35,32782.666666666664
EWR,2019,3,34.983333333333334,16.15,16.15,1.0
Manhattan,2019,3,28.57432587906122,2.718482648459033,133399.6725,49888.75
Queens,2019,3,45.24830279556247,1.66872843304807,138279.40000000002,35846.8
Staten Island,2019,3,52.68855165069223,18.71501597444089,5857.8,313.0
Unknown,2019,3,19.095007680491552,5.787050691244239,2511.58,434.0
Bronx,2019,4,85.73489319874919,3.5131722309083666,125324.335,21747.5
Brooklyn,2019,4,464.0851574752362,14.873940963729979,231454.82666666666,56562.0
Manhattan,2019,4,17.653332002625927,2.6476111495537697,122300.05,46970.25
Queens,2019,4,206.95154954907068,3.181581424192491,93049.17333333332,26131.333333333332
Staten Island,2019,4,48.20014947683109,15.894080717488787,3544.38,223.0
Unknown,2019,4,18.530713640469735,5.880108401084011,2169.76,369.0
Bronx,2019,5,27.172442467440128,5.4498584881119605,209503.46,38442.0
Brooklyn,2019,5,77.97910352188217,3.8538594413801577,153516.885,38665.0
EWR,2019,5,42.9,28.8,28.8,1.0
Manhattan,2019,5,15.011472882831928,2.928604244660508,239416.775,92825.0
Queens,2019,5,248.78562205789677,3.6041318902112174,105770.39200000002,31334.4
Staten Island,2019,5,61.36737726098191,16.960813953488373,4375.89,258.0
Unknown,2019,5,26.14121355397951,7.98224586288416,3376.49,423.0
Bronx,2019,6,12.920426299061498,1.9433508740367604,45219.57,8338.5
Brooklyn,2019,6,49.57470377262746,3.2005740409747747,186145.65666666665,46603.333333333336
EWR,2019,6,0.2333333333333333,26.2,52.4,2.0
Manhattan,2019,6,39.58700765265504,2.0680426731834363,113861.21750000001,43968.0
Queens,2019,6,142.10257448593936,1.8730355005352255,98858.35,29442.8
Staten Island,2019,6,57.11469622331691,16.458128078817733,3341.0,203.0
Unknown,2019,6,28.76819645732689,9.398888888888887,3891.14,414.0
Bronx,2019,7,19.016454257736996,3.469091951825655,85812.945,15693.5
Brooklyn,2019,7,249.77145932234941,4.20238310217506,128587.615,32231.0
EWR,2019,7,43.15833333333333,18.56,37.12,2.0
Manhattan,2019,7,9.597166035638319,2.12465401124926,138040.6366666667,54051.0
Queens,2019,7,214.90395581106532,4.581275035668712,56874.082500000004,16961.375
Staten Island,2019,7,52.73549107142857,19.01205357142857,4258.7,224.0
Unknown,2019,7,26.633418584825236,9.299181585677749,3635.98,391.0
Bronx,2019,8,14.372505294366794,2.9967755717916136,86311.35,15740.5
Brooklyn,2019,8,346.47825939590837,4.315207163304539,123221.60750000001,29781.5
EWR,2019,8,47.7,14.74,14.74,1.0
Manhattan,2019,8,12.425218342638146,2.251470324055042,135059.55333333332,50276.333333333336
Queens,2019,8,104.28359532827946,2.1685024113427365,69838.85428571429,19074.14285714286
Staten Island,2019,8,50.37957746478873,17.910657276995305,3814.97,213.0
Unknown,2019,8,21.669689336691857,7.574256926952141,3006.98,397.0
