Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-04-28 07:36:14,New York,29,337,39.98353,-82.01326,49,False,True,sleeping accommodation,False,2022-04-28,07:36:14,Happy,2022-04-28 07:36:14,7,28,4,4
2022-04-29 12:43:59,New York,29,145,33.6673,-84.4469,69,False,False,,True,2022-04-29,12:43:59,Happy,2022-04-29 12:43:59,12,29,4,5
2022-04-29 12:44:04,New York,29,205,33.66696,-84.44703,71,False,False,"automobile,delivery truck,rooster,bird",True,2022-04-29,12:44:04,Neutral,2022-04-29 12:44:04,12,29,4,5
2022-04-29 12:47:59,New York,29,205,33.66759,-84.44732,59,False,False,"railway car,airplane,bird,rooster",True,2022-04-29,12:47:59,Happy,2022-04-29 12:47:59,12,29,4,5
2022-04-30 17:52:59,New York,29,331,40.83514,-73.94364,71,False,True,multiple musical notes,False,2022-04-30,17:52:59,Very Sad,2022-04-30 17:52:59,17,30,4,6
2022-04-30 17:54:27,New York,29,331,40.8351,-73.94373,48,False,True,multiple musical notes,False,2022-04-30,17:54:27,Very Sad,2022-04-30 17:54:27,17,30,4,6
2022-05-01 18:17:21,New York,29,331,40.82156,-73.95397,73,False,True,railway car,True,2022-05-01,18:17:21,Neutral,2022-05-01 18:17:21,18,1,5,7
2022-05-01 20:26:09,New York,29,331,40.83513,-73.94367,25,True,True,man+personal computer,False,2022-05-01,20:26:09,Extremely Happy,2022-05-01 20:26:09,20,1,5,7
2022-05-02 11:17:57,New York,29,343,33.66045,-84.60212,59,False,False,airplane,True,2022-05-02,11:17:57,Somewhat Sad,2022-05-02 11:17:57,11,2,5,1
2022-05-04 12:05:21,New York,29,141,40.90712,-73.78128,63,False,False,,False,2022-05-04,12:05:21,Very Sad,2022-05-04 12:05:21,12,4,5,3
